*** NumlTest_DecisionTreeTest ***
* Raw *
MainTarget 66: 64 op, 194197086.99 ns, 3.0343 ms/op
MainTarget 67: 64 op, 192294287.72 ns, 3.0046 ms/op
MainTarget 68: 64 op, 191869013.87 ns, 2.9980 ms/op
MainTarget 69: 64 op, 190805159.87 ns, 2.9813 ms/op
MainTarget 70: 64 op, 187158871.69 ns, 2.9244 ms/op
MainTarget 71: 64 op, 188101346.37 ns, 2.9391 ms/op
MainTarget 72: 64 op, 186935747.95 ns, 2.9209 ms/op
MainTarget 73: 64 op, 189260251.09 ns, 2.9572 ms/op
MainTarget 74: 64 op, 192094815.1 ns, 3.0015 ms/op
MainTarget 75: 64 op, 203829338.9 ns, 3.1848 ms/op
MainTarget 76: 64 op, 243210232.99 ns, 3.8002 ms/op
MainTarget 77: 64 op, 234703417.23 ns, 3.6672 ms/op
MainTarget 78: 64 op, 217061469.25 ns, 3.3916 ms/op
MainTarget 79: 64 op, 215470150.73 ns, 3.3667 ms/op
MainTarget 80: 64 op, 223096520.21 ns, 3.4859 ms/op
MainTarget 81: 64 op, 197749216.95 ns, 3.0898 ms/op
MainTarget 82: 64 op, 207729988.14 ns, 3.2458 ms/op
MainTarget 83: 64 op, 197518060.75 ns, 3.0862 ms/op
MainTarget 84: 64 op, 245689137.76 ns, 3.8389 ms/op
MainTarget 85: 64 op, 223537412.72 ns, 3.4928 ms/op
MainTarget 86: 64 op, 266818063.56 ns, 4.1690 ms/op
MainTarget 87: 64 op, 211063456.84 ns, 3.2979 ms/op
MainTarget 88: 64 op, 217745566.64 ns, 3.4023 ms/op
MainTarget 89: 64 op, 215541550.33 ns, 3.3678 ms/op
MainTarget 90: 64 op, 187138344.31 ns, 2.9240 ms/op
MainTarget 91: 64 op, 187215545.12 ns, 2.9252 ms/op
MainTarget 92: 64 op, 226239887.47 ns, 3.5350 ms/op
MainTarget 93: 64 op, 189411528.98 ns, 2.9596 ms/op
MainTarget 94: 64 op, 191557533.13 ns, 2.9931 ms/op
MainTarget 95: 64 op, 191586985.46 ns, 2.9935 ms/op
MainTarget 96: 64 op, 216270272.47 ns, 3.3792 ms/op
MainTarget 97: 64 op, 217890597.07 ns, 3.4045 ms/op
